Feature,Treatment_Importance,Control_Importance,Importance_Difference
f6,436,13,423
f0_f5_interaction,392,39,353
f8,410,63,347
f9,393,67,326
f1_f2_interaction,291,31,260
f10,318,74,244
f0_f4_interaction,256,15,241
f0_f2_interaction,262,52,210
f2_f3_interaction,223,14,209
f2,229,31,198
f2_f5_interaction,211,26,185
f2_f4_interaction,206,28,178
f0_f3_interaction,152,9,143
f3_f4_interaction,151,18,133
f4,202,69,133
f0_f1_interaction,136,11,125
f7,155,37,118
f1_f4_interaction,122,12,110
f3_f5_interaction,101,2,99
f11,88,15,73
f0,74,9,65
f4_f5_interaction,80,21,59
f3,39,1,38
f1,36,4,32
f1_f3_interaction,25,3,22
f1_f5_interaction,15,0,15
f5,4,0,4
