Feature,Uplift_SHAP
f0_f2_interaction,10.608417742920446
f0,8.150408068450735
f6,3.4160239099312535
f0_f3_interaction,2.580390796842809
f1_f2_interaction,2.496469353662818
f0_f5_interaction,1.6655575851060929
f8,0.6696865455532153
f9,0.45101365917427017
f0_f4_interaction,0.27475607765984056
f2_f3_interaction,0.24419907897715476
f2,0.20121736161658327
f2_f5_interaction,0.1926916456998702
f0_f1_interaction,0.15962829588173663
f2_f4_interaction,0.138397077256187
f4,0.10117632829313997
f10,0.0993324889899918
f11,0.04307787850770124
f1_f4_interaction,0.03477326643484097
f3_f5_interaction,0.023910672219166314
f7,0.019190924782778562
f1_f3_interaction,0.0159222463914692
f4_f5_interaction,0.014795571576317359
f3,0.012672882494037375
f3_f4_interaction,0.012273408503155907
f1_f5_interaction,0.002333733241924705
f1,0.0013669611023443772
f5,0.0006477520855326754
